epoch,loss,mae,val_loss,val_mae
0,0.034439533948898315,0.34999072551727295,0.03306025266647339,0.331440806388855
1,0.03230610489845276,0.32842394709587097,0.032228678464889526,0.3171283006668091
2,0.031644195318222046,0.32014378905296326,0.031965114176273346,0.3109658658504486
3,0.03153395280241966,0.3162460923194885,0.03178420662879944,0.3140791952610016
4,0.0313844159245491,0.3165217638015747,0.0316627062857151,0.30963757634162903
5,0.031345684081315994,0.31358233094215393,0.031585078686475754,0.3087019622325897
6,0.031168129295110703,0.31267914175987244,0.031580470502376556,0.31296420097351074
7,0.031181344762444496,0.3134705126285553,0.03163055330514908,0.31242361664772034
8,0.031088445335626602,0.3129511773586273,0.031593117862939835,0.31021296977996826
9,0.030995627865195274,0.3112929165363312,0.03165766969323158,0.303430438041687
10,0.030918696895241737,0.3108054995536804,0.03162446990609169,0.3062386214733124
11,0.03092386946082115,0.3098585903644562,0.03160707280039787,0.30943626165390015
12,0.03077675588428974,0.3104516863822937,0.031673163175582886,0.30526378750801086
13,0.030767453834414482,0.30959656834602356,0.031627804040908813,0.3077872395515442
14,0.030698137357831,0.30868977308273315,0.031644150614738464,0.30878785252571106
15,0.03057502768933773,0.30927160382270813,0.03158474341034889,0.3075050115585327
16,0.030522793531417847,0.3070664405822754,0.03173680603504181,0.3083135485649109
17,0.030397452414035797,0.3079007863998413,0.031707316637039185,0.30634579062461853
18,0.030169932171702385,0.30576324462890625,0.03188570216298103,0.30628347396850586
19,0.030122337862849236,0.30616384744644165,0.031883470714092255,0.30928996205329895
20,0.030008859932422638,0.30565840005874634,0.03211085870862007,0.3056921660900116
21,0.029895585030317307,0.30466097593307495,0.03201662749052048,0.3073396682739258
22,0.029677869752049446,0.30378231406211853,0.03235441446304321,0.3042576014995575
23,0.029586367309093475,0.30281075835227966,0.032412562519311905,0.3056418001651764
24,0.029547957703471184,0.3030034601688385,0.03226684406399727,0.30573922395706177
25,0.029243100434541702,0.30062416195869446,0.03225304186344147,0.307984322309494
26,0.029155593365430832,0.3001162111759186,0.032511211931705475,0.3073941469192505
